inventory_id,product_id,current_stock,last_updated
1,1,203,2026-04-07 01:58:22.466542
2,2,488,2026-03-30 02:58:16.819196
3,3,317,2026-05-31 04:39:59.238038
4,4,213,2026-03-30 06:21:15.959324
5,5,393,2026-06-12 23:59:16.615480
6,6,474,2026-08-06 15:44:21.317298
7,7,2,2026-03-21 18:01:47.469338
8,8,90,2026-04-09 04:13:48.302380
9,9,185,2026-08-08 02:10:49.992111
10,10,466,2026-07-17 05:16:02.971485
11,11,458,2026-03-24 09:32:42.885745
12,12,461,2026-02-10 15:43:34.196882
13,13,311,2026-02-05 05:08:22.654357
14,14,436,2026-03-29 13:58:22.454718
15,15,405,2026-04-30 10:25:55.559483
16,16,95,2026-03-19 08:43:28.190452
17,17,125,2026-01-11 07:21:30.286979
18,18,342,2026-01-17 13:52:28.165818
19,19,265,2026-07-04 02:16:55.741830
20,20,454,2026-05-07 04:31:55.598729
21,21,426,2026-06-18 16:49:59.873814
22,22,350,2026-05-24 21:53:39.706072
23,23,383,2026-02-10 22:33:16.441772
24,24,251,2026-02-27 05:55:55.330541
25,25,24,2026-05-13 02:16:51.306405
26,26,492,2026-04-02 14:57:30.247289
27,27,384,2026-07-13 21:08:02.544233
28,28,376,2026-06-30 13:04:50.242982
29,29,1,2026-07-22 16:13:00.807415
30,30,219,2026-08-14 06:07:31.145225
31,31,438,2026-02-26 01:51:37.316861
32,32,164,2026-05-19 05:47:16.560450
33,33,81,2026-07-28 20:23:12.243682
34,34,302,2026-07-08 10:34:55.664670
35,35,38,2026-08-22 22:25:45.127888
36,36,0,2026-06-14 02:27:39.548038
37,37,133,2026-05-22 09:28:53.836512
38,38,498,2026-04-25 07:38:21.974576
39,39,240,2026-05-18 03:28:09.193280
40,40,312,2026-06-20 12:05:19.200015
41,41,481,2026-08-05 16:20:33.062505
42,42,444,2026-08-16 10:50:05.882482
43,43,290,2026-06-30 16:47:16.675702
44,44,475,2026-05-30 17:51:10.980302
45,45,219,2026-07-09 16:37:44.182114
46,46,161,2026-07-15 13:58:16.416336
47,47,206,2026-02-02 20:47:17.475069
48,48,226,2026-03-23 22:09:30.459505
49,49,450,2026-01-02 15:54:19.939175
50,50,69,2026-05-05 09:07:00.161093
