invoice_id,customer_id,invoice_date,due_date,amount,status
1,68,2025-04-02,2026-08-12,180662.35,paid
2,1,2025-11-22,2026-01-12,99009.46,paid
3,23,2024-11-04,2026-08-12,16975.72,pending
4,83,2026-01-14,2026-09-08,65015.55,paid
5,94,2025-04-26,2026-08-20,49847.54,pending
6,92,2025-06-06,2026-10-22,84725.28,pending
7,93,2026-05-20,2026-09-27,171202.83,pending
8,90,2025-03-28,2025-07-11,36549.23,overdue
9,73,2025-01-27,2025-09-15,216909.4,paid
10,60,2024-12-03,2025-03-08,122330.89,pending
11,62,2024-12-15,2025-08-18,18555.44,overdue
12,33,2025-01-06,2026-03-17,104980.39,overdue
13,70,2025-09-19,2026-03-14,44496.77,paid
14,63,2026-03-02,2026-05-20,71929.48,paid
15,9,2026-03-08,2026-07-14,45980.51,overdue
16,12,2025-07-18,2026-02-28,63713.54,pending
17,5,2025-12-16,2026-10-11,56977.81,paid
18,93,2025-05-13,2025-07-29,113334.36,pending
19,64,2026-01-07,2026-11-13,106232.94,paid
20,88,2026-09-01,2026-10-21,29982.71,paid
21,77,2026-02-07,2026-09-07,29083.86,paid
22,50,2025-12-30,2026-03-10,5916.94,overdue
23,9,2026-06-20,2026-08-08,82164.47,paid
24,76,2025-04-16,2026-08-10,67902.88,paid
25,84,2026-02-06,2026-09-27,170214.05,paid
26,75,2024-10-23,2025-08-11,24076.22,overdue
27,53,2026-02-21,2026-02-26,8487.86,paid
28,6,2025-02-21,2026-03-10,118904.61,overdue
29,17,2026-08-01,2026-08-09,31309.11,overdue
30,96,2024-11-30,2025-05-30,73028.83,paid
31,13,2025-04-17,2025-04-21,7584.21,pending
32,32,2025-06-18,2026-05-27,86113.4,overdue
33,23,2026-04-24,2026-08-15,88092.25,overdue
34,15,2025-10-09,2026-05-09,100069.25,paid
35,14,2025-11-25,2026-08-22,118232.03,paid
36,63,2026-05-18,2026-07-23,59022.48,pending
37,7,2026-05-02,2026-08-25,1285.33,paid
38,1,2026-03-22,2026-10-16,26482.22,paid
39,29,2025-07-16,2026-05-20,39418.88,pending
40,5,2025-05-30,2026-01-24,143894.15,paid
41,92,2025-03-25,2025-11-09,177774.5,pending
42,73,2026-06-03,2026-08-24,118788.06,pending
43,69,2026-09-08,2026-10-22,184140.09,overdue
44,97,2025-07-04,2025-08-19,64518.59,overdue
45,71,2026-04-05,2026-05-24,147674.68,overdue
46,58,2025-09-13,2026-06-19,36652.39,overdue
47,60,2025-02-07,2025-11-26,210724.14,pending
48,73,2024-11-18,2025-07-11,142068.35,overdue
49,32,2024-10-07,2026-09-29,17947.5,overdue
50,5,2025-05-23,2026-04-23,107575.35,overdue
51,100,2025-08-16,2026-07-04,237377.16,paid
52,91,2024-11-24,2026-08-14,105101.55,pending
53,33,2026-06-15,2026-09-16,14280.2,paid
54,5,2026-09-07,2026-10-04,158308.76,pending
55,19,2025-04-14,2026-01-25,17991.4,pending
56,2,2025-01-02,2026-06-05,38334.29,paid
57,76,2026-06-18,2026-09-12,78501.13,overdue
58,21,2025-04-13,2026-06-18,53462.98,overdue
59,6,2024-09-27,2025-12-23,69692.48,pending
60,26,2025-06-07,2026-02-01,39151.45,overdue
61,36,2025-01-12,2025-11-19,94735.96,paid
62,32,2025-01-19,2026-06-19,83949.72,overdue
63,64,2024-11-06,2026-11-02,121345.02,paid
64,41,2025-11-01,2026-06-24,102651.55,pending
65,26,2025-12-26,2026-07-11,21520.51,paid
66,16,2025-07-17,2026-03-23,292594.85,pending
67,88,2025-03-20,2026-09-05,31484.95,paid
68,29,2026-03-25,2026-06-15,115482.21,pending
69,26,2025-10-04,2025-11-25,150979.57,paid
70,23,2025-05-13,2026-07-05,35033.85,overdue
71,89,2025-10-02,2026-10-08,133917.3,overdue
72,67,2026-02-03,2026-08-18,32138.38,paid
73,10,2026-06-05,2026-07-28,131286.61,overdue
74,97,2025-12-20,2026-09-28,10152.2,overdue
75,88,2025-05-08,2026-10-12,79393.18,pending
76,79,2026-03-10,2026-08-16,27833.16,overdue
77,33,2025-08-10,2026-02-20,166757.66,overdue
78,8,2025-08-31,2026-08-23,159681.34,paid
79,39,2025-01-17,2026-07-10,118026.8,paid
80,59,2026-02-15,2026-11-13,182827.74,pending
81,79,2025-10-23,2026-03-21,61446.71,pending
82,67,2025-05-17,2025-09-22,19909.44,pending
83,19,2025-01-29,2026-09-12,227436.11,overdue
84,53,2026-07-02,2026-11-06,6941.01,paid
85,18,2025-08-15,2026-02-24,33169.92,pending
86,96,2025-11-28,2026-02-22,81960.43,paid
87,56,2025-12-10,2026-06-18,45847.98,pending
88,15,2025-08-20,2026-05-10,128547.4,paid
89,17,2026-09-04,2026-11-11,149735.23,paid
90,50,2024-12-04,2026-09-30,119016.63,paid
91,26,2026-04-02,2026-08-04,138819.95,paid
92,10,2025-07-02,2025-09-25,128935.66,pending
93,41,2026-03-18,2026-04-05,139319.47,pending
94,8,2025-07-29,2025-09-03,52723.84,paid
95,12,2025-05-11,2026-01-22,30877.12,paid
96,92,2026-09-10,2026-10-06,56922.44,pending
97,43,2025-10-10,2026-03-18,38930.6,overdue
98,99,2026-02-06,2026-03-30,45725.85,paid
99,70,2025-10-18,2026-10-24,37734.93,overdue
100,30,2025-03-26,2026-02-08,47425.81,pending
101,80,2026-09-03,2026-10-12,7711.98,paid
102,4,2025-10-18,2026-08-31,25584.57,pending
103,77,2025-01-30,2026-03-28,7409.88,paid
104,9,2025-07-29,2026-03-31,234025.06,paid
105,7,2026-07-17,2026-10-16,186592.84,paid
106,58,2025-08-01,2025-09-28,143432.32,paid
107,78,2026-07-07,2026-07-27,147429.57,overdue
108,94,2025-12-03,2026-04-06,44671.8,pending
109,58,2025-02-16,2025-06-19,167928.4,pending
110,33,2026-05-26,2026-07-06,87476.62,paid
111,47,2025-06-27,2026-07-05,30878.45,pending
112,62,2026-02-20,2026-04-04,96308.43,paid
113,60,2025-06-16,2025-10-05,43118.83,paid
114,61,2024-09-24,2025-08-24,196380.24,paid
115,10,2025-08-31,2026-08-08,189312.81,pending
116,9,2025-03-31,2026-06-07,52788.67,overdue
117,29,2025-11-20,2025-12-18,162216.59,overdue
118,46,2025-03-01,2026-06-11,67103.1,paid
119,4,2025-08-07,2025-10-26,95451.13,pending
120,78,2025-02-23,2025-11-11,66204.26,overdue
121,16,2026-08-23,2026-11-04,62064.37,overdue
122,38,2025-11-03,2026-02-13,197234.29,overdue
123,33,2025-04-13,2025-09-07,46493.34,pending
124,26,2024-10-02,2026-07-01,107288.56,paid
125,88,2026-09-09,2026-09-17,5234.91,pending
126,63,2025-05-13,2025-12-08,31920.28,pending
127,64,2026-03-18,2026-04-30,73528.37,paid
128,33,2026-01-22,2026-11-11,51033.12,overdue
129,45,2025-11-11,2026-04-09,89625.46,overdue
130,5,2026-03-08,2026-03-13,147247.7,pending
131,83,2026-06-21,2026-11-06,63741.29,pending
132,92,2025-02-11,2026-06-12,119237.67,overdue
133,74,2024-11-17,2025-11-05,35895.0,pending
134,58,2024-10-12,2025-06-12,76920.35,overdue
135,4,2024-11-29,2026-08-02,140804.46,overdue
