order_item_id,order_id,product_id,quantity,unit_price
1,1,24,8,8292.89
2,1,37,10,6248.8
3,1,43,5,7612.57
4,1,46,2,6884.19
5,2,6,5,2250.16
6,2,1,8,4560.04
7,2,5,8,3227.55
8,2,35,3,8485.98
9,3,2,2,8487.86
10,4,29,9,7223.95
11,5,7,8,5234.91
12,5,45,2,3984.13
13,6,8,1,9732.65
14,6,26,5,9596.23
15,6,39,1,8737.52
16,6,19,9,2030.44
17,7,41,9,1285.33
18,7,29,2,7223.95
19,7,35,10,8485.98
20,7,12,10,5916.94
21,7,4,6,192.96
22,8,28,2,3669.61
23,8,11,5,4248.35
24,8,45,2,3984.13
25,9,18,10,4834.53
26,9,21,10,7748.89
27,9,7,6,5234.91
28,9,38,9,3589.5
29,9,1,6,4560.04
30,10,23,5,7061.85
31,10,43,1,7612.57
32,10,21,9,7748.89
33,10,18,2,4834.53
34,11,15,2,9277.72
35,12,37,2,6248.8
36,12,37,10,6248.8
37,12,4,10,192.96
38,12,42,1,4545.69
39,12,32,10,2351.95
40,13,29,1,7223.95
41,13,5,7,3227.55
42,13,9,1,3120.11
43,13,44,2,5779.93
44,14,3,6,8580.64
45,14,41,4,1285.33
46,14,25,9,1700.48
47,15,24,4,8292.89
48,15,31,5,2561.79
49,16,28,2,3669.61
50,16,49,3,1234.98
51,16,12,7,5916.94
52,16,6,5,2250.16
53,17,43,1,7612.57
54,17,31,6,2561.79
55,17,31,5,2561.79
56,17,23,3,7061.85
57,18,39,7,8737.52
58,18,6,5,2250.16
59,18,6,4,2250.16
60,18,1,7,4560.04
61,19,18,6,4834.53
62,19,3,9,8580.64
63,20,43,2,7612.57
64,20,40,9,1228.07
65,20,49,3,1234.98
66,21,48,3,442.94
67,21,22,3,9251.68
68,22,12,1,5916.94
69,23,6,5,2250.16
70,23,9,5,3120.11
71,23,30,6,4011.52
72,23,37,5,6248.8
73,24,2,8,8487.86
74,25,20,6,8483.44
75,25,24,4,8292.89
76,25,11,6,4248.35
77,25,50,5,7006.77
