order_id,customer_id,order_date,status,total_amount
1,68,2025-04-02,cancelled,180662.35
2,1,2025-11-22,completed,99009.46
3,23,2024-11-04,cancelled,16975.72
4,83,2026-01-14,pending,65015.55
5,94,2025-04-26,pending,49847.54
6,92,2025-06-06,pending,84725.28
7,93,2026-05-20,completed,171202.83
8,90,2025-03-28,completed,36549.23
9,73,2025-01-27,pending,216909.4
10,60,2024-12-03,completed,122330.89
11,62,2024-12-15,completed,18555.44
12,33,2025-01-06,completed,104980.39
13,70,2025-09-19,cancelled,44496.77
14,63,2026-03-02,completed,71929.48
15,9,2026-03-08,cancelled,45980.51
16,12,2025-07-18,pending,63713.54
17,5,2025-12-16,pending,56977.81
18,93,2025-05-13,pending,113334.36
19,64,2026-01-07,pending,106232.94
20,88,2026-09-01,cancelled,29982.71
21,77,2026-02-07,cancelled,29083.86
22,50,2025-12-30,pending,5916.94
23,9,2026-06-20,completed,82164.47
24,76,2025-04-16,cancelled,67902.88
25,84,2026-02-06,cancelled,170214.05
26,75,2024-10-23,pending,24076.22
27,53,2026-02-21,pending,8487.86
28,6,2025-02-21,pending,118904.61
29,17,2026-08-01,completed,31309.11
30,96,2024-11-30,cancelled,73028.83
31,13,2025-04-17,completed,7584.21
32,32,2025-06-18,pending,86113.4
33,23,2026-04-24,cancelled,88092.25
34,15,2025-10-09,completed,100069.25
35,14,2025-11-25,cancelled,118232.03
36,63,2026-05-18,completed,59022.48
37,7,2026-05-02,pending,1285.33
38,1,2026-03-22,cancelled,26482.22
39,29,2025-07-16,pending,39418.88
40,5,2025-05-30,completed,143894.15
41,92,2025-03-25,completed,177774.5
42,73,2026-06-03,pending,118788.06
43,69,2026-09-08,completed,184140.09
44,97,2025-07-04,cancelled,64518.59
45,71,2026-04-05,cancelled,147674.68
46,58,2025-09-13,completed,36652.39
47,60,2025-02-07,completed,210724.14
48,73,2024-11-18,pending,142068.35
49,32,2024-10-07,completed,17947.5
50,5,2025-05-23,completed,107575.35
51,100,2025-08-16,cancelled,237377.16
52,91,2024-11-24,completed,105101.55
53,33,2026-06-15,cancelled,14280.2
54,5,2026-09-07,cancelled,158308.76
55,19,2025-04-14,pending,17991.4
56,2,2025-01-02,completed,38334.29
57,76,2026-06-18,cancelled,78501.13
58,21,2025-04-13,completed,53462.98
59,6,2024-09-27,pending,69692.48
60,26,2025-06-07,pending,39151.45
61,36,2025-01-12,completed,94735.96
62,32,2025-01-19,cancelled,83949.72
63,64,2024-11-06,cancelled,121345.02
64,41,2025-11-01,pending,102651.55
65,26,2025-12-26,completed,21520.51
66,16,2025-07-17,pending,292594.85
67,88,2025-03-20,completed,31484.95
68,29,2026-03-25,completed,115482.21
69,26,2025-10-04,completed,150979.57
70,23,2025-05-13,pending,35033.85
71,89,2025-10-02,cancelled,133917.3
72,67,2026-02-03,completed,32138.38
73,10,2026-06-05,cancelled,131286.61
74,97,2025-12-20,cancelled,10152.2
75,88,2025-05-08,cancelled,79393.18
76,79,2026-03-10,cancelled,27833.16
77,33,2025-08-10,completed,166757.66
78,8,2025-08-31,pending,159681.34
79,39,2025-01-17,completed,118026.8
80,59,2026-02-15,cancelled,182827.74
81,79,2025-10-23,completed,61446.71
82,67,2025-05-17,pending,19909.44
83,19,2025-01-29,cancelled,227436.11
84,53,2026-07-02,cancelled,6941.01
85,18,2025-08-15,pending,33169.92
86,96,2025-11-28,pending,81960.43
87,56,2025-12-10,cancelled,45847.98
88,15,2025-08-20,cancelled,128547.4
89,17,2026-09-04,cancelled,149735.23
90,50,2024-12-04,completed,119016.63
91,26,2026-04-02,completed,138819.95
92,10,2025-07-02,pending,128935.66
93,41,2026-03-18,completed,139319.47
94,8,2025-07-29,cancelled,52723.84
95,12,2025-05-11,pending,30877.12
96,92,2026-09-10,completed,56922.44
97,43,2025-10-10,completed,38930.6
98,99,2026-02-06,cancelled,45725.85
99,70,2025-10-18,cancelled,37734.93
100,30,2025-03-26,cancelled,47425.81
101,80,2026-09-03,cancelled,7711.98
102,4,2025-10-18,pending,25584.57
103,77,2025-01-30,pending,7409.88
104,9,2025-07-29,pending,234025.06
105,7,2026-07-17,cancelled,186592.84
106,58,2025-08-01,cancelled,143432.32
107,78,2026-07-07,completed,147429.57
108,94,2025-12-03,pending,44671.8
109,58,2025-02-16,completed,167928.4
110,33,2026-05-26,completed,87476.62
111,47,2025-06-27,completed,30878.45
112,62,2026-02-20,completed,96308.43
113,60,2025-06-16,cancelled,43118.83
114,61,2024-09-24,cancelled,196380.24
115,10,2025-08-31,pending,189312.81
116,9,2025-03-31,completed,52788.67
117,29,2025-11-20,pending,162216.59
118,46,2025-03-01,completed,67103.1
119,4,2025-08-07,cancelled,95451.13
120,78,2025-02-23,pending,66204.26
121,16,2026-08-23,pending,62064.37
122,38,2025-11-03,cancelled,197234.29
123,33,2025-04-13,pending,46493.34
124,26,2024-10-02,pending,107288.56
125,88,2026-09-09,cancelled,5234.91
126,63,2025-05-13,pending,31920.28
127,64,2026-03-18,cancelled,73528.37
128,33,2026-01-22,cancelled,51033.12
129,45,2025-11-11,completed,89625.46
130,5,2026-03-08,cancelled,147247.7
131,83,2026-06-21,pending,63741.29
132,92,2025-02-11,cancelled,119237.67
133,74,2024-11-17,cancelled,35895.0
134,58,2024-10-12,cancelled,76920.35
135,4,2024-11-29,pending,140804.46
136,89,2026-07-20,cancelled,54242.23
137,75,2025-09-14,cancelled,7368.42
138,70,2024-10-29,pending,35501.64
139,51,2024-12-09,cancelled,78948.93
140,90,2026-01-20,cancelled,124438.35
141,98,2026-08-09,cancelled,97533.18
142,22,2025-01-03,completed,179429.36
143,95,2026-03-04,pending,116904.18
144,9,2025-02-14,cancelled,26185.81
145,13,2026-08-10,completed,201555.62
146,6,2026-01-05,pending,25436.38
147,72,2025-10-26,pending,30977.11
148,46,2025-06-09,completed,17648.59
149,2,2026-01-04,completed,96921.22
150,58,2025-07-02,pending,110186.86
151,17,2025-04-14,pending,62326.64
152,99,2025-07-28,cancelled,6949.98
153,44,2026-08-22,completed,23931.36
154,93,2024-11-19,cancelled,125058.0
155,34,2026-05-02,pending,72203.4
156,81,2025-09-25,pending,24269.46
157,4,2026-02-18,completed,89277.95
158,97,2024-10-27,cancelled,64119.35
159,77,2026-01-21,completed,78167.92
160,99,2024-12-09,completed,6884.19
161,89,2024-09-23,pending,30450.28
162,31,2025-02-08,completed,122942.93
163,72,2026-08-07,pending,99565.06
164,59,2025-03-09,completed,14013.54
165,19,2026-05-29,pending,10536.84
166,79,2026-05-28,cancelled,43388.31
167,44,2025-03-29,cancelled,82724.04
168,47,2024-12-16,pending,59945.95
169,74,2026-01-10,pending,171071.58
170,11,2024-11-21,completed,17008.17
171,95,2025-03-21,cancelled,125139.92
172,5,2025-05-08,cancelled,110374.51
173,76,2026-02-22,cancelled,8580.64
174,40,2025-06-26,pending,115248.24
175,65,2025-04-30,cancelled,128061.3
176,31,2025-06-14,cancelled,156555.72
177,75,2025-03-08,cancelled,54868.88
178,79,2025-05-23,cancelled,20823.03
179,6,2024-11-29,completed,195164.01
180,12,2025-03-04,pending,10768.5
181,94,2026-08-20,pending,168980.96
182,46,2025-05-01,completed,74509.38
183,50,2024-11-23,pending,72482.53
184,99,2024-10-26,pending,103136.15
185,20,2025-12-05,pending,145313.7
186,22,2024-11-13,pending,23223.23
187,29,2025-11-13,completed,65270.09
188,81,2025-10-15,completed,55516.35
189,80,2026-01-01,completed,8580.64
190,47,2024-11-13,completed,74837.82
191,84,2024-12-22,pending,33354.49
192,55,2025-08-22,completed,89545.94
193,39,2026-02-25,completed,175233.4
194,6,2024-12-21,completed,127012.38
195,56,2025-12-25,cancelled,115021.64
196,67,2026-01-07,cancelled,82784.22
197,1,2024-12-15,completed,110368.08
198,24,2025-08-21,cancelled,36770.49
199,15,2024-12-14,completed,148945.12
200,28,2024-12-09,cancelled,97303.58
201,71,2024-11-23,cancelled,15751.12
202,11,2024-11-14,pending,53069.47
203,62,2026-06-16,pending,209318.46
204,9,2026-05-24,cancelled,18815.6
205,83,2024-11-04,cancelled,7968.26
206,84,2025-07-05,completed,131484.9
