product_id,product_name,category,unit_price,reorder_level,created_at
1,Back,Software,4560.04,46,2020-07-12 05:10:16.093551
2,Alone,Electronics,8487.86,19,2021-03-25 22:23:49.729182
3,General,Accessories,8580.64,49,2025-02-15 13:39:45.577639
4,Situation,Hardware,192.96,31,2025-07-29 09:54:05.163969
5,Of,Accessories,3227.55,38,2024-09-08 13:22:50.906755
6,Some,Services,2250.16,41,2025-06-03 23:51:30.857856
7,Rule,Services,5234.91,28,2020-04-15 12:10:01.337795
8,Sure,Services,9732.65,47,2023-10-16 23:43:04.521089
9,Watch,Services,3120.11,50,2021-08-15 01:47:17.887447
10,Food,Software,9854.72,48,2022-11-30 01:53:36.952741
11,Writer,Accessories,4248.35,24,2024-05-17 09:10:26.238660
12,Every,Services,5916.94,32,2026-08-30 01:10:07.159259
13,May,Accessories,4019.99,38,2020-02-24 14:14:59.705968
14,Of,Services,7584.21,17,2021-07-17 01:54:47.789191
15,Total,Accessories,9277.72,19,2024-03-17 20:48:04.478619
16,Employee,Accessories,7830.29,36,2025-02-18 10:54:20.555246
17,First,Services,4497.85,45,2021-05-13 02:25:44.556776
18,Operation,Software,4834.53,26,2025-02-04 23:47:58.686061
19,Issue,Services,2030.44,47,2021-06-25 01:37:23.095245
20,Somebody,Services,8483.44,20,2025-12-31 02:06:41.963518
21,Impact,Hardware,7748.89,14,2021-12-23 19:10:59.346629
22,Song,Hardware,9251.68,36,2022-11-20 18:01:25.855129
23,Sort,Services,7061.85,32,2023-03-25 20:34:40.605262
24,Decade,Electronics,8292.89,34,2021-01-04 18:17:25.592553
25,Subject,Services,1700.48,28,2025-11-14 15:57:04.865060
26,Character,Electronics,9596.23,14,2023-08-17 10:40:48.923650
27,On,Hardware,6636.48,18,2022-02-26 07:36:22.574927
28,List,Software,3669.61,19,2026-02-25 21:13:31.666365
29,Also,Accessories,7223.95,24,2024-10-12 08:37:28.789151
30,Fear,Accessories,4011.52,18,2021-02-10 16:58:53.659662
31,For,Services,2561.79,48,2024-02-04 08:49:49.262139
32,White,Software,2351.95,15,2025-12-15 15:31:04.661063
33,Republican,Accessories,8022.6,29,2020-03-17 12:21:54.592473
34,Result,Accessories,1158.33,33,2023-10-01 06:10:16.585407
35,Stuff,Software,8485.98,31,2020-10-14 05:07:45.712592
36,Teach,Accessories,2313.67,43,2026-08-19 08:52:15.696828
37,Pick,Services,6248.8,14,2022-05-28 01:39:56.103437
38,Nearly,Electronics,3589.5,33,2022-08-09 00:33:45.571666
39,Fire,Accessories,8737.52,38,2021-09-19 06:15:45.507221
40,Consumer,Services,1228.07,26,2020-02-08 12:49:45.557805
41,Game,Electronics,1285.33,42,2022-06-14 20:00:45.771471
42,When,Software,4545.69,17,2020-07-10 09:06:25.565644
43,Institution,Electronics,7612.57,20,2022-03-11 02:15:04.093224
44,Give,Electronics,5779.93,49,2022-02-14 18:38:12.905936
45,Mean,Accessories,3984.13,34,2020-03-02 04:15:36.868178
46,Question,Electronics,6884.19,43,2021-08-25 15:26:24.553197
47,Special,Hardware,8711.56,13,2025-01-02 10:33:14.851601
48,Close,Electronics,442.94,42,2026-06-24 07:51:13.166384
49,Produce,Accessories,1234.98,39,2024-03-08 19:26:29.266581
50,West,Accessories,7006.77,20,2025-08-06 23:50:21.023481
